Price,Close,High,Low,Open,Volume,SMA_20,RSI,MACD,MACD_Signal
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,
Date,,,,,,,,,
2015-04-01,27.74846076965332,27.942756440341626,27.491633629002273,27.875757463178825,162485600,,,0,0
2015-04-02,27.987422943115234,28.04102110569997,27.735063294751196,27.9226577157252,128880400,,,0,0
2015-04-06,28.440780639648438,28.47651388747033,27.766331773633098,27.797597513549732,148776000,,,0,0
2015-04-07,28.141523361206055,28.612743230731876,28.13482380296402,28.505546891149116,140049200,,,0,0
2015-04-08,28.049959182739258,28.22862202685145,27.909263343103138,28.105791108542423,149316800,,,0,0
2015-04-09,28.264352798461914,28.26882030656257,27.840031537075223,28.105790337990708,129936000,,,0,0
2015-04-10,28.38494300842285,28.40950918539536,27.97402096425488,28.128115878890522,160752000,,,0,0
2015-04-13,28.329113006591797,28.713238553875073,28.275514845883464,28.66857029621765,145460400,,,0,0
2015-04-14,28.20628547668457,28.427379393486362,28.119187821464017,28.36261416455353,102098400,,,0,0
2015-04-15,28.31348419189453,28.39164854242009,28.141522620738304,28.23085403727682,115881600,,,0,0
2015-04-16,28.1772518157959,28.384946617793247,28.163852700781522,28.201817995892192,113476000,,,0,0
2015-04-17,27.860126495361328,28.170551816596443,27.79536126738247,28.03878931074127,207828000,,,0,0
2015-04-20,28.496612548828125,28.612742196487645,27.953926200723096,28.043257616383126,188217200,,,0,0
2015-04-21,28.34251594543457,28.630607145708005,28.288916076860733,28.608276422917974,129740400,,,0,0
2015-04-22,28.724403381347656,28.780235297985456,28.21075077059283,28.360379898256962,150618000,,,0,0
2015-04-23,28.958906173706055,29.126401970243215,28.617215021387107,28.65294827583227,183083600,,,0,0
2015-04-24,29.095134735107422,29.173300799240938,28.8606399504174,29.14203505512964,178103600,,,0,0
2015-04-27,29.624404907226562,29.731604609248397,29.28941350575302,29.54847434074266,387816800,,,0,0
2015-04-28,29.157655715942383,30.046498756265088,28.93656353644003,30.028635544104926,475696000,,,0,0
2015-04-29,28.728872299194336,29.387688266320986,28.65294170668969,29.0683313231756,253544400,,,0,0
2015-04-30,27.949459075927734,28.728872190424035,27.82216236838046,28.728872190424035,332781600,,,0,0
2015-05-01,28.798107147216797,29.06163561358785,27.982962379436504,28.16162352279231,234050400,,,0,0
2015-05-04,28.742273330688477,29.15989843272447,28.644008600797655,28.920936166152686,203953200,,,0,0
2015-05-05,28.094621658325195,28.686438622653633,28.090154150752014,28.619439639895173,197085600,,,0,0
2015-05-06,27.918195724487305,28.306785438036545,27.54970468570634,28.264352630607828,288564000,,,0,0
2015-05-07,28.090879440307617,28.274773039026737,27.812795101973443,27.980990529252118,175763600,,,0,0
2015-05-08,28.620126724243164,28.620126724243164,28.281492877176024,28.40932129864255,222201600,,,0,0
2015-05-11,28.328588485717773,28.606671048184207,28.17384818122156,28.56854717086461,168143200,,,0,0
2015-05-12,28.227680206298828,28.45418216329396,27.99220590969195,28.16712889072679,192640000,,,0,0
2015-05-13,28.259071350097656,28.523698857849375,28.227675011124752,28.290467689070557,138776800,,,0,0
2015-05-14,28.91839599609375,28.91839599609375,28.51697113449011,28.573036269582165,180814000,,,0,0
2015-05-15,28.878026962280273,29.039494803970687,28.752441623619692,28.94530579997525,152832000,,,0,0
2015-05-18,29.196481704711914,29.315339523078,28.78608448543216,28.790570654600064,203531600,,,0,0
2015-05-19,29.169570922851562,29.351221417987176,29.0731371084552,29.308611366645366,178532800,,,0,0
2015-05-20,29.167325973510742,29.373645264548497,29.005858107143048,29.153870888304162,145819600,,,0,0
2015-05-21,29.465593338012695,29.519417101566336,29.115747429775045,29.169571193328686,158921600,,,0,0
2015-05-22,29.723487854003906,29.819921657140842,29.46783099774743,29.512685839361247,182384000,,,0,0
2015-05-26,29.068649291992188,29.806468364377803,28.95651902510816,29.736948146420776,282790400,,,0,0
2015-05-27,29.611351013183594,29.660688590439086,29.165074867022398,29.230108897799248,183332800,,,0,0
2015-05-28,29.553054809570312,29.59117869218456,29.400559279113327,29.570996064084852,122933200,,,0,0
2015-05-29,29.21666717529297,29.4790516350571,29.1314470625347,29.42971403524387,203538000,,,0,0
2015-06-01,29.274974822998047,29.46559768617892,29.165089328034053,29.21666830366909,128451200,,,0,0
2015-06-02,29.144901275634766,29.301882969200555,29.001374666954007,29.122473852863536,134670400,,,0,0
2015-06-03,29.180782318115234,29.364677615726777,29.131444722265528,29.301884934089788,123934000,,,0,0
2015-06-04,29.010339736938477,29.283937833143533,28.90942319173519,29.05967732293898,153800400,,,0,0
2015-06-05,28.851112365722656,29.084345205321515,28.786078325454806,29.04173516220574,142507200,,,0,0
2015-06-08,28.660497665405273,28.97670584773006,28.442964668084898,28.907182205972028,210699200,,,0,0
2015-06-09,28.575275421142578,28.723288187543126,28.171607506451284,28.41380757087726,224301600,,,0,0
2015-06-10,28.9027042388916,29.0058621879515,28.671714407523737,28.687412579464038,156349200,,,0,0
2015-06-11,28.837663650512695,29.19423710804009,28.812994852837843,28.96997655533942,141563600,,,0,0
2015-06-12,28.519214630126953,28.779357697578135,28.505759544214744,28.74796135646813,147544800,,,0,0
2015-06-15,28.463150024414062,28.534913335578192,28.191794950606823,28.27925643262022,175955600,,,0,0
2015-06-16,28.615644454956055,28.67170958974671,28.33980494993042,28.487816016072244,125976400,,,0,0
2015-06-17,28.548372268676758,28.67844210359998,28.422785181514005,28.6425613008195,131672400,,,0,0
2015-06-18,28.678438186645508,28.774870290470037,28.530427115061457,28.532670199607754,141628800,,,0,0
2015-06-19,28.391382217407227,28.664980332574395,28.346530796646586,28.640311537864434,218867600,,,0,0
2015-06-22,28.617891311645508,28.718807883182006,28.499033483977787,28.590979427448673,136157200,,,0,0
2015-06-23,28.48781394958496,28.617885463497288,28.454174528956322,28.588732211470873,121075600,,,0,0
2015-06-24,28.73001480102539,29.109015620040665,28.507997369571378,28.52817999471631,221123600,,,0,0
2015-06-25,28.59322166442871,28.974463935565506,28.59322166442871,28.898216165727067,127752400,,,0,0
2015-06-26,28.42502784729004,28.703110480885535,28.371205788426614,28.63134716541017,176267200,,,0,0
2015-06-29,27.927169799804688,28.362235873234983,27.91595779736962,28.135732207988315,196645600,,,0,0
2015-06-30,28.128997802734375,28.283738112955014,28.001169371543593,28.160394139449863,177482800,,,0,0
2015-07-01,28.391382217407227,28.467631685866746,28.254583159823643,28.458661059520214,120955200,,,0,0
2015-07-02,28.355506896972656,28.411572039232745,28.205251015376632,28.353263812209992,108844000,,,0,0
2015-07-06,28.256826400756836,28.308407074792264,27.998926452523776,28.01911078965835,112241600,,,0,0
2015-07-07,28.187307357788086,28.290466999179422,27.75672582771158,28.232158780663585,187787200,,,0,0
2015-07-08,27.48761558532715,27.951834856068285,27.480888042572847,27.915954057721272,243046400,,,0,0
2015-07-09,26.926963806152344,27.82176290948722,26.736342683422965,27.77466839994035,314380000,,,0,0
2015-07-10,27.646841049194336,27.7746694975796,27.182621767061306,27.34633272564635,245418000,,,0,0
2015-07-13,28.180578231811523,28.203003941989035,27.88006824032245,28.03929300684639,165762000,,,0,0
2015-07-14,28.169368743896484,28.339807246544346,28.041540294653657,28.265800851990008,127072400,,,0,0
2015-07-15,28.44072151184082,28.51472790040736,28.162638922315423,28.194035260924476,134596800,,,0,0
2015-07-16,28.81971549987793,28.833174004253067,28.55957421069555,28.647035668443852,144889600,,,0,0
2015-07-17,29.068649291992188,29.068649291992188,28.774868540267114,28.94755010941288,184658800,,,0,0
2015-07-20,29.618087768554688,29.81992086266363,29.310848537016735,29.37139983402697,235600800,,,0,0
2015-07-21,29.322065353393555,29.808710310384445,29.225634964554256,29.793013852130155,307025600,,,0,0
2015-07-22,28.081905364990234,28.14469804304387,27.35754306093514,27.35754306093514,461802400,,,0,0
2015-07-23,28.068449020385742,28.50127020482842,28.046021598396894,28.30167846812664,203998000,,,0,0
2015-07-24,27.920438766479492,28.198521372310356,27.78588277726922,28.104332350960387,168649200,,,0,0
2015-07-27,27.532472610473633,27.72085240076724,27.38670459189202,27.60423593273487,177822000,,,0,0
2015-07-28,27.66926383972168,27.78812335897345,27.483128898382656,27.66926383972168,134472400,,,0,0
2015-07-29,27.581802368164062,27.696175718624897,27.42033451127161,27.6176848745722,148046800,,,0,0
2015-07-30,27.442760467529297,27.48761188717185,27.2947477029593,27.431546757132665,134513200,,,0,0
2015-07-31,27.202795028686523,27.503303229855124,27.11533358440781,27.494332605958387,171540000,,,0,0
2015-08-03,26.56142234802246,27.48761788232665,26.35510132414015,27.247659141861902,279904000,,,0,0
2015-08-04,25.709230422973633,26.395467188033553,25.397508381918815,26.33267450508327,496554400,,,0,0
2015-08-05,25.879661560058594,26.337153176852183,25.139601239457118,25.330222318711495,397250400,,,0,0
2015-08-06,25.93598747253418,26.24461576160186,25.708460281519265,26.12521993055667,211612000,,,0,0
2015-08-07,26.023845672607422,26.188297674454546,25.794065236344476,25.81208770315017,154681600,,,0,0
2015-08-10,26.970006942749023,27.030830625206193,26.25137691338986,26.25137691338986,219806400,,,0,0
2015-08-11,25.566532135009766,26.62307544621346,25.53048892601448,26.53972283991694,388331200,,,0,0
2015-08-12,25.960765838623047,26.00131552501816,24.696969284478392,25.350269023636592,404870000,,,0,0
2015-08-13,25.940488815307617,26.22208334930202,25.80307054522102,26.1409839860143,194143200,,,0,0
2015-08-14,26.122962951660156,26.201809081746294,25.683676142096857,25.753511040356475,171718000,,,0,0
2015-08-17,26.393299102783203,26.50368370310715,26.019340654538997,26.14098972618288,163538800,,,0,0
2015-08-18,26.244617462158203,26.4563771573359,26.134232857077464,26.228848232860955,138242800,,,0,0
