,title,date,sentiment
0,"Apple, Nvidia, Meta, and more Magnificent 7 stocks slide as the Nasdaq rally kicks into reverse",2025-04-10T16:41:50Z,0.6361
1,"Apple, Nvidia, Meta, and more Magnificent 7 stocks slide",2025-04-10T16:01:26Z,0.6361
2,NVIDIA (NVDA) — Jim Cramer Pleads: “This Is the Highest Quality Company in the World”,2025-04-10T15:49:45Z,0.0
3,Why Shares of Nvidia Are Sinking Today,2025-04-10T15:02:12Z,0.296
4,Lynx Equity: NVIDIA’s “Minimal-Tariff Status” Is A Win For Micron And Super Micro Computer (SMCI),2025-04-10T13:48:58Z,0.8271
5,Live: Nasdaq Composite Falls 2% Premarket | NVIDIA (Nasdaq: NVDA) Down 3%,2025-04-10T13:22:57Z,0.0
6,Despite Volatility in the Markets Global Drone Market Is Expected to Achieve Remarkable Growth as Usage Skyrockets,2025-04-10T13:15:00Z,0.7351
7,What should investors do after Trump's tariff U-turn?,2025-04-10T13:14:32Z,0.0
8,Why Nvidia Stock Could Be Tech's Biggest Bargain in 2025,2025-04-10T13:12:49Z,0.2023
9,Trump's 90-day tariff pause ripples through markets: What Wall Street is saying,2025-04-10T12:57:51Z,0.0
