,title,date,sentiment
0,Deep Rock Galactic: Rogue Core gets the gadgets out in a fighty new trailer,2025-04-10T16:24:37Z,0.0
1,Every New Movie and TV Show Coming to Prime Video in April 2025,2025-04-10T16:06:39Z,0.0
2,Russia frees ballerina in prisoner swap with US,2025-04-10T15:54:14Z,-0.3182
3,The Chicago film industry is working toward sustainability,2025-04-10T15:53:32Z,0.0
4,The Chicago film industry is working toward sustainability,2025-04-10T15:53:32Z,0.0
5,Is Rami Malek’s ‘The Amateur’ Movie Streaming on Netflix or Amazon Prime?,2025-04-10T15:30:00Z,0.1779
6,DOGE Must Crack Down on the Social Security Disability ATM,2025-04-10T15:29:26Z,0.34
7,From meditative to madcap,2025-04-10T15:25:54Z,0.34
8,Slow Horses Season 5 Release Window Revealed With First Look At Gary Oldman's Returning Apple TV+ Show,2025-04-10T15:24:50Z,0.0
9,The D Brief: New defense EOs; Somalia concerns; Ukrainian’s advice for US; Spies target fired feds; And a bit more.,2025-04-10T15:18:46Z,-0.4767
